state,brand,model,year,distanceTraveled,bodyType,fuelType,cubicCapacity,motorStrength,fixedPrice,exchange,linkToArticle,numberOfDoors,numberOfSeats,color,condition,price
Polovno vozilo,Renault,Clio,2016.,159.522 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24354382/renault-clio-15-dci-energy-75hp?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2017.,205.000 km,Hečbek,Dizel,1461 cm3,,True,False,https://www.polovniautomobili.com/auto-oglasi/24349773/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2016.,175.421 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24348598/renault-clio-restyling?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.299 €
Polovno vozilo,Renault,Clio,2015.,165.746 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24153202/renault-clio-09-novoo?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,6.650 €
Polovno vozilo,Renault,Clio,2016.,179.000 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24346575/renault-clio-09-limited-ch?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.950 €
Polovno vozilo,Renault,Clio,2019.,131.000 km,Hečbek,Benzin + Gas (TNG),898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24339921/renault-clio-09-tce-van?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,2 sedišta,Crvena,Nije oštećen,6.990 €
Polovno vozilo,Renault,Clio,2014.,229.611 km,Hečbek,Benzin + Gas (TNG),1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24197902/renault-clio?attp=p3_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Bela,Nije oštećen,6.699 €
Polovno vozilo,Renault,Clio,2014.,180.000 km,Hečbek,Dizel,1461 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24075607/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.700 €
Polovno vozilo,Renault,Clio,2016.,149.057 km,Hečbek,Benzin,898 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24321113/renault-clio?attp=p1_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Crvena,Nije oštećen,7.000 €
Polovno vozilo,Renault,Clio,2014.,82.806 km,Hečbek,Benzin,1149 cm3,,False,False,https://www.polovniautomobili.com/auto-oglasi/24331716/renault-clio-12-b?attp=p3_pv0_pc1_pl1_plv0,4/5 vrata,5 sedišta,Siva,Nije oštećen,6.600 €
