Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24179136/renault-clio-15-dci-nov?attp=p3_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24313437/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=2, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23478698/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]   
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24149413/renault-clio-15-dci-n-a-v-i?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2019., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24299989/renault-clio-09-tce-van?attp=p3_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=2 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/24009534/renault-clio-nov-nov?attp=p3_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crna, condition=Nije oštećen, price=None] 
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2015., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin, cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/21508030/renault-clio?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bež, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2018., distanceTraveled=1, bodyType=Hečbek, fuelType=Benzin + Gas (TNG), cubicCapacity=8, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/22916587/renault-clio-09tce-tng?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/21744989/renault-clio-15-dci-navtech?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2016., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/23706735/renault-clio?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Bela, condition=Nije oštećen, price=None]
Car[state=Polovno vozilo, brand=Renault, model=Clio, year=2014., distanceTraveled=1, bodyType=Hečbek, fuelType=Dizel, cubicCapacity=1, motorStrength=None, fixedPrice=False, exchange=False, linkToArticle=https://www.polovniautomobili.com/auto-oglasi/21830041/renault-clio-15-dci?attp=p1_pv0_pc1_pl1_plv0, numberOfDoors=4/5 vrata, numberOfSeats=5 sedišta, color=Crvena, condition=Nije oštećen, price=None] 
